Rider Home System,Rider or Operator Number,Entry Pass Type,Bike Number,Checkout Date,Checkout Day of Week,Checkout Time,Checkout Station,Return Date,Return Day of Week,Return Time,Return Station,Trip Duration (Minutes)
Boulder B-cycle,R1011535,24-hour,548,5/20/2011,Friday,9:24:00 AM,15th & Pearl,5/20/2011,Friday,9:40:00 AM,26th @ Pearl,16
Boulder B-cycle,R1011722,24-hour,742,5/20/2011,Friday,9:24:00 AM,15th & Pearl,5/20/2011,Friday,9:54:00 AM,15th & Pearl,30
Boulder B-cycle,R1008367,Annual,578,5/20/2011,Friday,9:33:00 AM,Broadway & Alpine,5/20/2011,Friday,9:36:00 AM,Broadway & Alpine,3
Boulder B-cycle,R1010650,24-hour,616,5/20/2011,Friday,9:34:00 AM,Broadway & Alpine,5/20/2011,Friday,9:37:00 AM,Broadway & Alpine,3
Boulder B-cycle,R1008367,Annual,578,5/20/2011,Friday,9:36:00 AM,Broadway & Alpine,5/20/2011,Friday,9:39:00 AM,Broadway & Alpine,3
Boulder B-cycle,R1055681,Annual,601,5/20/2011,Friday,9:39:00 AM,UCAR Center Green,5/20/2011,Friday,9:42:00 AM,UCAR Center Green,3
Boulder B-cycle,R1042835,Annual,723,5/20/2011,Friday,9:39:00 AM,Library @ Arapahoe,5/20/2011,Friday,9:41:00 AM,Library @ Arapahoe,2
Boulder B-cycle,R1064754,24-hour,658,5/20/2011,Friday,9:40:00 AM,Library @ Arapahoe,5/20/2011,Friday,10:35:00 AM,Library @ Arapahoe,55
Boulder B-cycle,R1055681,Annual,601,5/20/2011,Friday,9:40:00 AM,UCAR Center Green,5/20/2011,Friday,9:42:00 AM,UCAR Center Green,2
Boulder B-cycle,R1088618,Annual,622,5/20/2011,Friday,9:40:00 AM,UCAR Center Green,5/20/2011,Friday,9:42:00 AM,UCAR Center Green,2
Boulder B-cycle,R1055681,Annual,601,5/20/2011,Friday,9:41:00 AM,UCAR Center Green,5/20/2011,Friday,9:43:00 AM,UCAR Center Green,2
Boulder B-cycle,R1008367,Annual,732,5/20/2011,Friday,9:41:00 AM,Broadway & Alpine,5/20/2011,Friday,10:50:00 AM,Broadway & Alpine,69
Boulder B-cycle,R1064754,24-hour,547,5/20/2011,Friday,9:41:00 AM,Library @ Arapahoe,5/20/2011,Friday,10:35:00 AM,Library @ Arapahoe,54
Boulder B-cycle,R1003664,Annual,561,5/20/2011,Friday,9:43:00 AM,15th & Pearl,5/20/2011,Friday,9:49:00 AM,15th & Pearl,6
Boulder B-cycle,R1072135,Annual,726,5/20/2011,Friday,9:44:00 AM,15th & Pearl,5/20/2011,Friday,9:45:00 AM,15th & Pearl,1
Boulder B-cycle,R1029435,Annual,650,5/20/2011,Friday,9:46:00 AM,15th & Pearl,5/20/2011,Friday,9:47:00 AM,15th & Pearl,1
Boulder B-cycle,R1072135,Annual,726,5/20/2011,Friday,9:46:00 AM,15th & Pearl,5/20/2011,Friday,9:48:00 AM,15th & Pearl,2
Boulder B-cycle,R1072135,Annual,582,5/20/2011,Friday,9:46:00 AM,15th & Pearl,5/20/2011,Friday,9:47:00 AM,15th & Pearl,1
Boulder B-cycle,R1029435,Annual,582,5/20/2011,Friday,9:47:00 AM,15th & Pearl,5/20/2011,Friday,9:48:00 AM,15th & Pearl,1
Boulder B-cycle,R1029435,Annual,744,5/20/2011,Friday,9:47:00 AM,15th & Pearl,5/20/2011,Friday,9:48:00 AM,15th & Pearl,1
Boulder B-cycle,R1072135,Annual,694,5/20/2011,Friday,9:47:00 AM,15th & Pearl,5/20/2011,Friday,9:48:00 AM,15th & Pearl,1
Boulder B-cycle,R1029435,Annual,744,5/20/2011,Friday,9:49:00 AM,15th & Pearl,5/20/2011,Friday,9:50:00 AM,15th & Pearl,1
Boulder B-cycle,R1029435,Annual,650,5/20/2011,Friday,9:51:00 AM,15th & Pearl,5/20/2011,Friday,9:53:00 AM,15th & Pearl,2
Boulder B-cycle,R1029435,Annual,694,5/20/2011,Friday,9:52:00 AM,15th & Pearl,5/20/2011,Friday,9:53:00 AM,15th & Pearl,1
Boulder B-cycle,R1042505,24-hour,298,5/30/2011,Monday,11:56:00 AM,Broadway & Alpine,5/30/2011,Monday,1:25:00 PM,15th & Pearl,89
